RED WINE:,DIEMERSDAL CAB-MERLOT,BOTTLE,170
RED WINE:,GUARDIAN PEAK MERLOT,BOTTLE,175
RED WINE:,BEYERSKLOOF PINOTAGE,BOTTLE,210
RED WINE:,RICKETY BRIDGE MERLOT,BOTTLE,260
RUM:,CAPTAIN MORGAN - DARK RUM,25ML TOT,15
RUM:,CAPTAIN MORGAN - SPICED GOLD,25ML TOT,10
RUM:,RED HEART,25ML TOT,15
SHOOTERS:,AMARULA,25ML TOT,10
SHOOTERS:,KAHLUA,25ML TOT,20
SHOOTERS:,APEROL,25ML TOT,15
SHOOTERS:,CACTUS JACK,25ML TOT,10
SHOOTERS:,BUTLERS PEPPERMINT,25ML TOT,10
SHOOTERS:,JAGERMEISTER,25ML TOT,20
SHOOTERS:,STRAWBERRY LIPS,25ML TOT,10
SHOOTERS:,JOSE CUERVO GOLD,25ML TOT,20
SHOOTERS:,TANG,25ML TOT,5
SPARKLING WINE:,BRUCE JACK BUMBLE BEE,750ML,180
SPARKLING WINE:,MISS MOLLY MCC BRUT,750ML,225
SPARKLING WINE:,JC LE ROUX LE DOMAINE,750ML,200
SPARKLING WINE:,PROSECCO,750ML,360
WHISKY:,BELLS,25ML TOT,15
WHISKY:,JOHNNY WALKER BLACK,25ML TOT,35
WHISKY:,JAMESON,25ML TOT,25
WHITE SPIRITS:,CAPE TO RIO CANE,25ML TOT,10
WHITE SPIRITS:,GORDONS GIN,25ML TOT,10
WHITE SPIRITS:,BOMBAY SAPPHIRE GIN,25ML TOT,25
WHITE SPIRITS:,SMIRNOFF INFUSIONS,25ML TOT,10
WHITE SPIRITS:,SMIRNOFF 1818 VODKA,25ML TOT,10
WHITE WINE:,SOPHIE WHITE,BOTTLE,185
WHITE WINE:,PETIT CHENIN BLANC,BOTTLE,135
WHITE WINE:,GUARDIAN PEAK CHENIN BLANC,BOTTLE,175
ROSE WINE:,LIMESTONE HILL CHARDONNAY,BOTTLE,200
ROSE WINE:,SOPHIE ROSE,BOTTLE,185
WHITE WINE:,BRUCE JACK RESERVE SAUVIGNON BLANC,BOTTLE,270
ROSE WINE:,LEAPARDS LEAP ROSE,BOTTLE,135
WHITE WINE:,PETIT SAUVIGNON BLANC,BOTTLE,135
